"loan_date","est_yield","est_loss","est_return","rating","year"
2013-12-09,0.12334,0.0499,0.07344,"B","2013"
2013-08-21,0.1122,0.0374,0.0748,"A","2013"
2013-05-20,0.1864,0.0749,0.1115,"C","2013"
2013-10-09,0.14963,0.0649,0.08473,"C","2013"
2013-08-13,0.1076,0.0349,0.0727,"A","2013"
2013-09-25,0.16862,0.0799,0.08872,"C","2013"
2013-04-23,0.2612,0.1375,0.1237,"E","2013"
2013-08-22,0.1148,0.0399,0.0749,"A","2013"
2013-10-16,0.2706,0.1575,0.1131,"HR","2013"
2013-01-08,0.1679,0.0724,0.0955,"C","2013"
2013-05-22,0.276,0.1575,0.1185,"HR","2013"
2013-08-14,0.1873,0.0874,0.0999,"C","2013"
2013-03-20,0.1679,0.0724,0.0955,"C","2013"
2013-10-15,0.13449,0.0524,0.08209,"B","2013"
2013-06-17,0.0751,0.0199,0.0552,"AA","2013"
2013-08-21,0.135,0.0474,0.0876,"B","2013"
2013-12-23,0.14814,0.0699,0.07824,"C","2013"
2013-12-16,0.16717,0.0849,0.08227,"C","2013"
2013-12-31,0.09071,0.0299,0.06081,"A","2013"
2013-12-12,0.09071,0.0299,0.06081,"A","2013"
2013-10-30,0.10568,0.0349,0.07078,"A","2013"
2013-11-14,0.1797,0.0899,0.0898,"C","2013"
2013-07-22,0.2051,0.0899,0.1152,"C","2013"
2013-10-08,0.14661,0.0624,0.08421,"C","2013"
2013-03-15,0.1404,0.0499,0.0905,"B","2013"
2013-05-23,0.1122,0.0374,0.0748,"A","2013"
2013-11-25,0.1797,0.0899,0.0898,"C","2013"
2013-12-20,0.15767,0.0774,0.08027,"C","2013"
2013-02-08,0.0684,0.0174,0.051,"AA","2013"
2013-05-15,0.1749,0.0774,0.0975,"C","2013"
2013-12-04,0.1264,0.0524,0.074,"B","2013"
2013-09-13,0.17162,0.0824,0.08922,"C","2013"
2013-04-19,0.135,0.0474,0.0876,"B","2013"
2013-10-11,0.17162,0.0824,0.08922,"C","2013"
2013-02-20,0.1019,0.0524,0.0495,"B","2013"
2013-04-11,0.2318,0.1225,0.1093,"E","2013"
2013-11-08,0.08643,0.0249,0.06153,"A","2013"
2013-05-09,0.1417,0.0549,0.0868,"B","2013"
2013-02-06,0.1015,0.0324,0.0691,"A","2013"
2013-12-11,0.13507,0.0599,0.07517,"B","2013"
2013-11-19,0.09202,0.0274,0.06462,"A","2013"
2013-09-20,0.20262,0.1075,0.09512,"D","2013"
2013-08-06,0.1382,0.0524,0.0858,"B","2013"
2013-08-08,0.2064,0.1025,0.1039,"D","2013"
2013-07-26,0.0956,0.0299,0.0657,"A","2013"
2013-02-12,0.0827,0.0224,0.0603,"A","2013"
2013-02-28,0.0965,0.0299,0.0666,"A","2013"
2013-12-16,0.20169,0.1125,0.08919,"D","2013"
2013-11-01,0.13705,0.0549,0.08215,"B","2013"
2013-06-05,0.2447,0.1325,0.1122,"E","2013"
2013-11-19,0.15264,0.0674,0.08524,"C","2013"
2013-12-16,0.16463,0.0824,0.08223,"C","2013"
2013-08-30,0.0956,0.0299,0.0657,"A","2013"
2013-07-15,0.1452,0.0574,0.0878,"B","2013"
2013-05-20,0.2064,0.1025,0.1039,"D","2013"
2013-11-08,0.1797,0.0899,0.0898,"C","2013"
2013-12-23,0.06919,0.0199,0.04929,"AA","2013"
